Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
367positions,scenario_1.dat,133492,412602,15,1,77578,17.77,798.43,280.0,yes
367positions,scenario_10.dat,158657,489843,13,1,137152,27.0,1545.93,209.0,yes
367positions,scenario_2.dat,158502,489368,14,1,212386,12.69,1309.79,234.0,yes
367positions,scenario_3.dat,165265,510121,14,0,6371,11.87,458.09,313.0,yes
367positions,scenario_4.dat,120865,373775,13,5,72288,22.17,710.42,256.0,yes
367positions,scenario_5.dat,165320,510286,14,0,6843,23.72,295.23,203.0,yes
367positions,scenario_6.dat,158200,488442,13,1,39308,22.82,678.8,182.0,yes
367positions,scenario_7.dat,109793,339771,17,0,17593,19.79,459.74,301.0,yes
367positions,scenario_8.dat,133492,412602,15,0,53719,17.77,689.72,280.0,yes
367positions,scenario_9.dat,105839,327573,14,2,9035,11.4,388.99,339.0,yes
