Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
70positions,scenario_1.dat,84136,259329,0,0,188286,7.54,499.49,564.0,yes
70positions,scenario_10.dat,84136,259329,0,0,227335,10.36,560.1,558.0,yes
70positions,scenario_11.dat,84082,259167,0,0,178677,9.64,601.67,524.0,yes
70positions,scenario_12.dat,84153,259380,0,0,535123,8.96,2091.0,553.0,yes
70positions,scenario_13.dat,84157,259392,0,0,189324,8.97,822.21,591.0,yes
70positions,scenario_14.dat,84109,259248,0,0,37656,8.31,167.02,526.0,yes
70positions,scenario_15.dat,84142,259347,0,0,221244,9.59,1026.96,545.0,yes
70positions,scenario_16.dat,84085,259176,0,0,20761,7.84,216.99,518.0,yes
70positions,scenario_17.dat,84099,259218,0,0,210858,8.74,1077.55,538.0,yes
70positions,scenario_18.dat,84080,259161,0,0,244580,10.57,1048.56,485.0,yes
70positions,scenario_19.dat,84127,259302,0,0,97677,8.83,624.14,558.0,yes
70positions,scenario_2.dat,84136,259329,0,0,144431,10.01,800.03,540.0,yes
70positions,scenario_20.dat,84107,259242,0,0,39951,8.36,250.04,536.0,yes
70positions,scenario_3.dat,84147,259362,0,0,37022,8.89,226.83,566.0,yes
70positions,scenario_4.dat,84079,259158,0,0,48359,8.22,225.95,533.0,yes
70positions,scenario_5.dat,84124,259293,0,0,131258,9.57,566.15,536.0,yes
70positions,scenario_6.dat,84115,259266,0,0,28411,9.65,182.64,518.0,yes
70positions,scenario_7.dat,84106,259239,0,0,97068,11.1,427.71,514.0,yes
70positions,scenario_8.dat,84118,259275,0,0,154798,8.77,1081.09,553.0,yes
70positions,scenario_9.dat,84114,259263,0,0,104759,11.19,447.86,518.0,yes
