Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
367positions,scenario_1.dat,133492,412452,0,0,265425,17.77,143.92,280.0,yes
367positions,scenario_10.dat,158657,489713,0,0,486587,27.0,225.26,209.0,yes
367positions,scenario_2.dat,158502,489228,0,0,253255,12.69,123.43,234.0,yes
367positions,scenario_3.dat,165265,509981,0,0,10722,11.87,17.24,313.0,yes
367positions,scenario_4.dat,120865,373645,0,0,220793,22.17,108.61,256.0,yes
367positions,scenario_5.dat,165320,510146,0,0,87211,23.72,40.59,203.0,yes
367positions,scenario_6.dat,158200,488312,0,0,160979,22.82,87.03,182.0,yes
367positions,scenario_7.dat,109793,339601,0,0,29202,19.79,30.76,301.0,yes
367positions,scenario_8.dat,133492,412452,0,0,224042,17.77,154.45,280.0,yes
367positions,scenario_9.dat,105839,327433,0,0,7645,11.4,13.46,339.0,yes
