// Nombre d'états (#T), de HAPS (#H), de positions envisageables pour le déploiement (#E) de types de communication (#C), d'unités (#U) et de bases (#B)
50, 10, 78, 5, 15, 1

// Altitude de déploiement des HAPS (A)
20

// Nombre de relais par type de communication (R_1, R_2, ...)
5, 5, 5, 5, 5

// Types de communication de chaque unité (C_u)
1
3, 1
1
5, 4, 2, 1
5, 3, 2
5, 4
1, 3, 5
2
3, 1, 5, 2
3, 1, 5, 4
1, 5
1, 2, 5, 4, 3
1, 4, 5, 3, 2
1, 3
3

// Portée de chaque unité par type de communication (P_u)
146
163, 101
156
86, 121, 158, 169
151, 147, 120
94, 128
150, 98, 135
106
92, 108, 132, 157
135, 146, 140, 124
134, 130
148, 95, 132, 153, 126
124, 102, 128, 133, 127
95, 130
114

// Types de communication de chaque base (C_b)
1, 2, 3, 4, 5

// Positions des bases (x_b, y_b)
482, 658

// Positions envisageables pour le déploiement d'un HAPS (x_e, y_e)
200, 0
300, 0
400, 0
600, 0
700, 0
800, 0
900, 0
200, 100
300, 100
400, 100
600, 100
700, 100
800, 100
900, 100
200, 200
300, 200
400, 200
600, 200
700, 200
800, 200
900, 200
200, 300
300, 300
400, 300
600, 300
700, 300
800, 300
900, 300
200, 400
300, 400
400, 400
500, 400
600, 400
700, 400
800, 400
900, 400
200, 500
300, 500
400, 500
600, 500
700, 500
800, 500
900, 500
200, 600
300, 600
400, 600
600, 600
700, 600
800, 600
900, 600
200, 700
300, 700
400, 700
600, 700
700, 700
800, 700
900, 700
200, 800
300, 800
400, 800
600, 800
700, 800
800, 800
900, 800
200, 900
300, 900
400, 900
600, 900
700, 900
800, 900
900, 900
200, 1000
300, 1000
400, 1000
600, 1000
700, 1000
800, 1000
900, 1000

// Poids et puissance maximale de chacun des HAPS (W_h, P_h)
567, 705
468, 306
382, 500
466, 446
222, 397
322, 724
292, 446
284, 522
582, 693
444, 846

// Poids, puissance et portée de chacun des relais de type 1 (w_r, p_r, s_r)
41, 45, 80
20, 30, 80
58, 54, 150
55, 49, 180
49, 59, 100

// Poids, puissance et portée de chacun des relais de type 2 (w_r, p_r, s_r)
56, 60, 80
20, 30, 80
47, 48, 150
48, 48, 180
58, 43, 100

// Poids, puissance et portée de chacun des relais de type 3 (w_r, p_r, s_r)
56, 60, 80
20, 30, 80
47, 48, 150
48, 48, 180
58, 43, 100

// Poids, puissance et portée de chacun des relais de type 4 (w_r, p_r, s_r)
56, 60, 80
20, 30, 80
47, 48, 150
48, 48, 180
58, 43, 100

// Poids, puissance et portée de chacun des relais de type 5 (w_r, p_r, s_r)
56, 60, 80
20, 30, 80
47, 48, 150
48, 48, 180
58, 43, 100
