Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
70positions,scenario_1.dat,3994,7473,0,0,11862,1.2,39.57,832.0,yes
70positions,scenario_10.dat,3994,7473,0,0,7912,1.45,26.47,829.0,yes
70positions,scenario_11.dat,3940,7311,0,0,88428,0.77,102.82,781.0,yes
70positions,scenario_12.dat,4011,7524,0,0,24910,1.42,58.44,846.0,yes
70positions,scenario_13.dat,4015,7536,0,0,27188,1.41,43.72,849.0,yes
70positions,scenario_14.dat,3967,7392,0,0,12594,1.12,30.34,803.0,yes
70positions,scenario_15.dat,4000,7491,0,0,6344,0.95,27.31,838.0,yes
70positions,scenario_16.dat,3943,7320,0,0,23427,1.55,36.28,775.0,yes
70positions,scenario_17.dat,3957,7362,0,0,64120,1.64,73.95,791.0,yes
70positions,scenario_18.dat,3938,7305,0,0,70129,1.82,84.69,771.0,yes
70positions,scenario_19.dat,3985,7446,0,0,6298,0.97,20.8,824.0,yes
70positions,scenario_2.dat,3994,7473,0,0,84890,2.07,105.38,822.0,yes
70positions,scenario_20.dat,3965,7386,0,0,9011,1.12,27.31,802.0,yes
70positions,scenario_3.dat,4005,7506,0,0,7285,1.61,39.09,837.0,yes
70positions,scenario_4.dat,3937,7302,0,0,17626,0.9,37.33,776.0,yes
70positions,scenario_5.dat,3982,7437,0,0,27128,1.84,45.94,815.0,yes
70positions,scenario_6.dat,3973,7410,0,0,7070,1.73,28.72,808.0,yes
70positions,scenario_7.dat,3964,7383,0,0,9213,1.12,26.81,803.0,yes
70positions,scenario_8.dat,3976,7419,0,0,107833,1.29,131.01,812.0,yes
70positions,scenario_9.dat,3972,7407,0,0,10192,1.62,31.68,804.0,yes
