Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
367positions,scenario_1.dat,133492,412602,15,0,166232,17.77,255.73,280.0,yes
367positions,scenario_10.dat,158657,489843,13,0,174926,27.0,123.16,209.0,yes
367positions,scenario_2.dat,158502,489368,14,0,236376,12.69,119.57,234.0,yes
367positions,scenario_3.dat,165265,510121,14,0,8707,11.87,18.18,313.0,yes
367positions,scenario_4.dat,120865,373775,13,0,196711,22.17,97.27,256.0,yes
367positions,scenario_5.dat,165320,510286,14,0,14376,23.72,15.83,203.0,yes
367positions,scenario_6.dat,158200,488442,13,0,118964,22.82,80.5,182.0,yes
367positions,scenario_7.dat,109793,339771,17,0,11437,19.79,19.28,301.0,yes
367positions,scenario_8.dat,133492,412602,15,0,85935,17.77,72.34,280.0,yes
367positions,scenario_9.dat,105839,327573,14,0,16097,11.4,17.28,339.0,yes
