Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
367positions,scenario_1.dat,133492,412602,15,0,166232,17.77,104.52,280.0,yes
367positions,scenario_10.dat,158657,489843,13,0,174926,27.0,118.1,209.0,yes
367positions,scenario_2.dat,158502,489368,14,0,236376,12.69,113.23,234.0,yes
367positions,scenario_3.dat,165265,510121,14,0,8707,11.87,16.46,313.0,yes
367positions,scenario_4.dat,120865,373775,13,0,196711,22.17,96.53,256.0,yes
367positions,scenario_5.dat,165320,510286,14,0,14376,23.72,14.92,203.0,yes
367positions,scenario_6.dat,158200,488442,13,0,118964,22.82,80.07,182.0,yes
367positions,scenario_7.dat,109793,339771,17,0,11437,19.79,19.37,301.0,yes
367positions,scenario_8.dat,133492,412602,15,0,85935,17.77,71.95,280.0,yes
367positions,scenario_9.dat,105839,327573,14,0,16097,11.4,18.18,339.0,yes
